Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y,,,,,,
10,0.500691137,0.995316207,216.7787092,129.0003341,0.999402881,222.9638489,144.1090726,0.997570753,223.7999863,110.1555185,0.769790411,146.3006325,9.681672324,0.650869608,217.7100158,90.60839478,0.618647814,165.7923201,168.3269448,0.598907828,133.9351811,89.70466604,0.764328897,142.0216551,111.9179639,0.178993851,136.7477787,109.5180097,0.442953467,145.755635,154.8685725,0.794089317,74.79659215,175.7887358,0.213340551,64.3969757,233.4296485,0.211235672,68.72442162,227.1828184,0.064105481,24.24347191,223.2245338,0.142054141,32.31122535,234.9657167,0.031473905,206.8279885,125.6317543,0.038668543,15.38444833,249.8326799,,,,,,
11,0.453400984,0.994613111,217.0636314,131.0090049,0.999329448,222.7257432,144.4298874,0.989378035,223.1581617,109.3178205,0.49759838,212.6234297,155.7870655,0.772065461,202.2244167,89.31696707,0.552368581,129.9580724,54.62012816,0.273289084,121.0249883,89.01636626,0.828308463,134.0555507,115.3638153,0.255158275,0.839074334,241.0792905,0.436283618,75.63364398,174.5443928,0.619479716,74.7795846,175.5152007,0.127280265,81.28054653,226.4317552,0.090737522,73.7256408,234.4440055,0.042659372,14.167578,240.7802747,0.055529267,15.22875916,243.0574575,0.053251415,208.5242324,126.6210084,0.120486706,64.75421958,181.2455134,,,,,,
12,0.531778006,0.992344618,216.562817,130.8495484,0.999068916,223.6861882,144.225809,0.985232711,223.516454,108.8836464,0.658669114,156.0473115,19.14734877,0.81824553,186.9667554,100.3776286,0.836667359,129.5320669,53.08665072,0.307796806,123.3134607,47.70426127,0.776721835,134.8289248,110.5157494,0.491001457,30.96588249,17.67385495,0.678700209,78.36764713,172.4679112,0.796377778,75.40041501,175.7516727,0.238815814,64.31987481,232.8698258,0.168826908,74.80178585,228.6638528,0.04875645,19.47212286,227.3201711,0.042403698,14.82492435,243.9186125,0.109473377,90.38467541,241.4929093,0.091123521,72.19316918,179.9898077,,,,,,
13,0.541855851,0.982636869,216.2556326,128.1279382,0.998194098,222.7205251,142.5321985,0.984894276,226.0912873,107.3069308,0.729503274,212.0009656,156.0959079,0.807314038,182.293788,97.04341741,0.72618556,126.3804644,51.8019285,0.875105739,186.2894283,28.08799791,0.890960932,130.8520843,113.4212362,0.244433105,0.211680266,242.359258,0.672479987,75.06237321,173.6106966,0.781700134,76.24231308,176.8143336,0.172013938,89.74135724,227.3807399,0.138222039,71.15990266,229.9315065,0.049996823,27.15094291,233.1368504,0.062538683,31.45489525,238.807911,0.033059329,92.80156396,240.3745562,0.062310636,61.53781162,198.553322,,,,,,
14,0.482440675,0.981386125,216.8736345,128.9553342,0.99952805,222.2549938,142.4332134,0.990631104,224.3124317,107.9657508,0.54652071,171.7066436,153.1153563,0.870660186,212.0662404,92.59270638,0.739958048,163.1175752,101.1028817,0.574724257,124.7131881,83.93928975,0.246775687,152.9970471,112.6787073,0.337915868,14.68881519,27.4630223,0.762776852,77.85533586,175.2093818,0.664304137,75.34062037,174.0212917,0.172284961,126.5035161,215.8599358,0.083434761,81.79879521,231.9403724,0.111424118,6.943117825,233.6711679,0.043494254,180.3436135,237.3556004,0.021892965,94.32622674,239.2605435,0.053779393,66.23685725,183.6272774,,,,,,
15,0.453819564,0.988595366,216.9707787,130.0824775,0.999055386,223.654587,144.0434686,0.985916853,221.5611345,107.6908869,0.713068604,191.4562363,164.9822975,0.62308383,205.8935608,86.14035922,0.171154231,132.3103323,69.83326506,0.156307638,167.6567499,111.2073653,0.158772796,199.3971647,224.5264464,0.419660032,13.17064759,8.425478894,0.735179842,79.2489064,177.117446,0.796934485,97.43958967,39.01311715,0.26738131,63.20799562,233.7864047,0.42022571,78.43857288,235.1056297,0.061111927,22.61514842,228.0605298,0.025111794,163.5510422,124.6741256,0.03009963,85.79948892,236.214083,0.163273156,70.05504594,180.7326291,,,,,,
16,0.476236906,0.991811454,218.5591741,130.583365,0.999246299,224.2082651,144.6814773,0.992559195,223.5406669,108.9039945,0.558962822,213.8190055,155.1436315,0.907237828,206.1812627,89.71563865,0.157040149,148.0480576,79.74504526,0.306086183,171.2174479,106.5742041,0.2197721,124.9892956,110.431882,0.360852897,13.46864393,7.499570239,0.613804936,78.73176108,176.9991368,0.90193665,98.24427839,38.53709474,0.264685094,68.19805931,227.1181287,0.418822676,79.03862847,231.3673826,0.209439546,169.684196,126.7956314,0.058071673,167.980064,125.2444942,0.042264253,87.76078242,233.9575531,0.093433648,168.5456534,131.4256228,,,,,,
17,0.471245911,0.996510208,214.9749093,129.9368099,0.999289036,224.0027602,146.0059813,0.986141145,225.3131096,106.9524057,0.747806609,188.6695829,160.3796646,0.864087105,205.6333148,90.39358761,0.252526224,117.9618373,75.36438826,0.238305002,154.4213654,105.3452228,0.668609202,133.6077218,60.96313324,0.447855264,17.33501001,9.200776251,0.410201877,141.7269917,60.27504682,0.905252755,76.97923982,182.864242,0.1663405,132.4725563,219.8383125,0.114253998,68.12008061,238.9273662,0.077974856,36.01355849,225.4242987,0.041259557,178.094679,240.0901949,0.061170399,92.53186934,230.5319279,0.033596754,170.983841,116.5571356,,,,,,
18,0.515988928,0.978960931,218.6627312,128.6326052,0.999892056,223.3996811,143.3358327,0.99682343,227.2442406,109.8933096,0.708282292,181.7867436,141.2411366,0.856649876,218.2325316,91.55708684,0.523426056,128.6532094,125.4380633,0.685914397,161.018356,112.4878326,0.482162118,142.1747352,62.77170627,0.436117351,141.4650144,62.65834699,0.528871536,76.62058779,180.2520531,0.776820242,105.7736301,36.76324394,0.137168974,126.9904928,215.41713,0.139284045,174.3062993,156.3852314,0.156015486,165.6272067,128.2157313,0.24230656,142.4899905,66.28881866,0.060480118,140.3052215,53.86982702,0.062636316,134.1509514,50.63265035,,,,,,
19,0.46163055,0.99268496,216.5619879,131.1423587,0.999003768,222.3342648,144.6228225,0.995122373,226.1783366,109.5402963,0.762717903,179.4466146,150.6203184,0.836452603,208.1017868,91.38549957,0.569575965,123.526049,53.18956163,0.267731071,146.6396862,102.2025203,0.226947486,137.9404041,60.27705237,0.372967243,136.6273359,59.95408571,0.573942184,79.33958285,179.6042788,0.816413879,76.95274705,178.4859989,0.154093683,124.7407172,216.5343613,0.094484121,47.96312349,254.9771526,0.047452509,15.58797201,229.8808862,0.03728658,15.95624336,243.716692,0.050835282,85.00423055,236.2798699,0.050007731,143.181765,70.6872391,,,,,,
